variable_name,30min_mean_0,30min_std_0,30min_mean_1,30min_std_1,30min_mean_total,30min_std_total,120min_mean_0,120min_std_0,120min_mean_1,120min_std_1,120min_mean_total,120min_std_total
Atypical Lymphocytes,0.7951175406871609,1.6368031858260126,1.3296385542168674,2.655261043317941,1.1159074475777297,2.316881049494339,0.7929706601466993,1.5864427853109602,1.2481439177612792,2.473414235740054,1.0282846176557425,2.104499043419459
BP Cuff [Diastolic],37.623747276688455,8.15582825434,33.602377122430745,18.579206569048797,34.77209125475285,16.352671039046673,37.642442430505874,7.636165847049455,33.40698398438107,14.891843933055672,34.97370255739183,12.863178029798476
BP Cuff [Mean],49.585190039318476,8.240556724389416,43.75359757186217,8.827835151179473,45.44542458808619,9.055500790357897,49.76589737457483,7.609517731542972,43.852909772116995,7.797536799061713,46.03586687627943,8.237970274104867
BP Cuff [Systolic],68.97211328976034,9.644692374834067,62.05823056300268,16.45637381799116,64.06930291508237,15.129627757775227,69.34240905716406,8.985258133857494,61.99433872372863,10.403686735805383,64.7114757051678,10.51826708674249
Bands,2.54226618705036,3.6299645704980184,1.4928743961352655,2.9951326817122266,1.9144508670520233,3.3040883746445617,2.594768856447688,3.7855344211112216,1.723081328751432,3.1950193888907115,2.145811209439528,3.520426232910991
Basophils,0.28230088495575223,0.6013327527421817,0.22768496420047732,0.49518314055390583,0.24967925873129007,0.5409001820065761,0.24235860409145604,0.5404292640552498,0.23395585738539898,0.5061136138485121,0.23802857976086325,0.5229675536718122
Eosinophils,2.1624778761061947,2.253084777003355,2.2924821002386633,2.3392711537447943,2.2401282965074842,2.3050231658762015,1.9912755716004813,1.993702230187317,2.236559139784946,2.2539305393719915,2.1176727909011372,2.134985908046882
Glucometer,67.59615384615384,20.566879071265394,63.125,25.636729671713674,64.18181818181819,24.600716296392807,69.10630341880342,19.123915136787655,69.54730401515049,25.231054028438347,69.4310616726608,23.77224341164532
Heart Rate,143.9344135802469,16.58494620428579,149.9009858845499,17.147427935558564,148.1504023233852,17.19806894575395,141.22854178368596,15.167994009833937,146.93235810946538,15.390362542384127,144.82790363336784,15.552959421184925
Hematocrit,51.66695652173913,5.71893550405144,48.92972651605232,6.645739490643489,50.041242937853106,6.426062844673684,51.81203814064363,5.710699706052898,49.029370432827434,6.825552586227658,50.38005496094879,6.459691216783613
Hemoglobin,17.442932862190816,1.9327575474118466,16.319999999999997,2.1562398581079982,16.775286532951288,2.1401198146519316,17.503405666063895,1.9204070829608808,16.3750998288648,2.2494913945108332,16.923710433763187,2.170215065121342
Lymphocytes,30.397256637168145,13.727283507528984,49.31050119331742,19.324158853612246,41.693977191732,19.617434558683865,28.224037304452466,12.165807193346271,46.78511601584607,19.924973070019508,37.78875765529309,19.034504987953056
MCH,35.56325088339222,1.9389969208510938,36.585524728588666,2.6077194713920298,36.170752688172044,2.411460369086911,35.56401446654611,1.8942522520728313,36.74062857142857,2.457389447764138,36.16802581402171,2.278320064484976
MCHC,33.763957597173146,0.9421353405794356,33.35530120481928,1.0876384454663461,33.52098853868195,1.050132279026207,33.77950572634117,0.9131274202335529,33.44774671990873,1.0596072222729274,33.60905627198124,1.0047301148530905
MCV,105.39222614840989,5.268192381139438,109.7950542822678,8.168197854279942,108.00867383512545,7.453578240305658,105.3572634116938,5.309641410060711,109.95994285714285,7.712132148266071,107.72003520093868,7.037996757285946
Metamyelocytes,0.25144404332129966,0.6758877957284918,0.21561743341404357,0.7814582600838577,0.22999999999999998,0.7408411032377774,0.26501529051987766,0.6956847557966329,0.21081081081081082,0.7176778003125248,0.23707765263781863,0.7075199784526283
Monocytes,6.868672566371682,3.7258573920263887,6.784486873508353,3.64742725802385,6.818389166072702,3.678121454206469,7.111070998796632,3.6265258196437995,6.906904357668364,3.8241510480496514,7.0058617672790895,3.7305259489824927
Myelocytes,0.14673913043478262,0.6777700845717847,0.11893203883495146,0.5471062282804839,0.1300872093023256,0.6028504349624918,0.1416922133660331,0.5552122953783837,0.12364787111622555,0.5190876326301141,0.13238349658652418,0.536875627669038
Neutrophils,56.58787610619469,14.78086561703605,38.070883054892604,18.798686039981522,45.52783321454027,19.52938722764082,58.65845367027678,13.485333387495618,40.414714204866996,19.340093513687087,49.257261592300964,19.077832575932717
Platelet Count,307.43060498220643,73.72966704928486,275.2754491017964,80.91104929321904,288.2111667859699,79.65187825170513,301.870538415003,78.21369147813768,265.36170814479635,81.76515066238039,283.00248465361005,82.11020484348236
RDW,16.621061946902657,0.9699741924912444,17.17020506634499,1.413185862357992,16.947632711621235,1.2809155207864011,16.64803862401931,1.0104634123440746,17.13319977103606,1.3729716713592595,16.897032902467686,1.2340436212779637
Red Blood Cells,4.917809187279151,0.5933807197493967,4.475536791314837,0.7133953702265714,4.654982078853046,0.7015691955327694,4.932242314647378,0.5706283220272065,4.472714285714286,0.6975468560848659,4.6963449691991785,0.6788911942380114
Resp Rate,49.697266231749,13.334420461854954,51.89834182008095,14.836363336908436,51.24700312557455,14.441408525890683,48.10644867353895,11.367481963233125,52.170952040462566,12.844573926579896,50.65737555819761,12.470106586988644
SaO2,97.48241335436683,5.036033279153327,95.9981169871795,4.486120659616379,96.35117557345093,4.665078804699355,97.84715297777227,3.9236887531219065,96.32554517034716,3.1606405986711126,96.77224780265928,3.471923642654366
Temp Axilary [F],98.40574691304758,0.6963541681816999,98.51212466153785,0.8329791057345446,98.48676886943196,0.8035037848571586,98.52098151072049,0.6058550975784787,98.70558556462126,0.7081400243171253,98.6611020120059,0.689343365082383
